嗯呢嗯呢！,是的是的！
嗯呢呢，呢呢呢呢！,啊啊啊啊，你是要气死我吗！
嗯呢嗯？,你在干什么?
嗯呢，嗯呢嗯！嗯呢.,没办法，那个球太高了
嗯呢！,变身！
嗯呢！,什么！？
嗯呢呢？,很有问题！
嗯呢！呢？,变身！怎么又失败了？
嗯呢！,谢谢。
嗯呢.,呜。
嗯呢呢嗯，嗯嗯呢！,使用前，请阅读说明书。
嗯嗯呢嗯呢呢嗯，呢呢嗯嗯嗯！呢嗯！,请在正规渠道购买，切勿购买非法改装的邦布！我们无法保证此类的安全性！
呢嗯呢呢嗯、嗯呢呢嗯嗯、呢嗯嗯嗯、嗯嗯呢嗯呢！,当你遇到独行的我们，请不要拐回家，偷窃邦布是违法的！
嗯呢嗯！嗯呢！嗯呢呢？,还找借口，没用的家伙，难到你想丢人吗？
嗯呢呢呢，呢呢呢！,我们一定会被踢的落花流水的。
呢呢.嗯呢，嗯呢。,教练，别骂了，别骂了。
呢呢呢，嗯呢嗯呢嗯呢？,这是真的吗，世界上还有这种怪事？
呢？呢呢？呢呢呢？,果然如此，你能不能让这个笨蛋，立马变成足球天才。
呢呢呢！呢呢呢嗯呢！,唉.果然办不到吗？
呢呢呢，嗯呢呢呢！,之前教练的最快记录，也用了一分钟呢。
呢呢嗯嗯呢！,哇，你好厉害！
嗯嗯呢，呢嗯呢。,我光跟着她跑步，就竭尽全力了。
嗯呢呢，呢呢呢嗯。,唉，笨蛋就是笨蛋。
嗯呢？,没有呢。
嗯呢？嗯呢~,也没说是往上转还是往下转呀？
嗯呢，嗯呢嗯呢。,您已使用招财布10次。
嗯嗯呢.,你可以摸摸我吗？
嗯呢呢，呢呢嗯呢呢！,教练，我，我想踢足球！
呢呢！,干脆点！
嗯呢呢，呢呢呢。,算了，我已经把她的样子录下来了，之后回放好了。
嗯呢嗯呢，嗯呢呢嗯嗯呢呢。,今天的训练就到此为止了。
嗯呢，呢呢呢呢。,阿飘，你到底有没有在听我说话？
嗯呢呢！呢呢呢？,没用的东西，不要给我装聋作哑！
嗯呢呢，呢呢呢呢呢呢,如果你需要，我可以帮忙捡球.
