嗯呢嗯呢！h,是的是的！
嗯呢呢，呢呢呢呢！a,啊啊啊啊，你是要气死我吗！
嗯呢嗯？s,你在干什么?
嗯呢，嗯呢嗯！嗯呢.d,没办法，那个球太高了
嗯呢！h,变身！
嗯呢！s,什么！？
嗯呢呢？a,很有问题！
嗯呢！呢？d,变身！怎么又失败了？
嗯呢！n,谢谢。
嗯呢.S,呜。
嗯呢呢嗯，嗯嗯呢！n,使用前，请阅读说明书。
嗯嗯呢嗯呢呢嗯，呢呢嗯嗯嗯！呢嗯！n,请在正规渠道购买，切勿购买非法改装的邦布！我们无法保证此类的安全性！
呢嗯呢呢嗯、嗯呢呢嗯嗯、呢嗯嗯嗯、嗯嗯呢嗯呢！n,当你遇到独行的我们，请不要拐回家，偷窃邦布是违法的！
嗯呢嗯！嗯呢！嗯呢呢？a,还找借口，没用的家伙，难到你想丢人吗？
嗯呢呢呢，呢呢呢！S,我们一定会被踢的落花流水的。
呢呢.嗯呢，嗯呢。S,教练，别骂了，别骂了。
呢呢呢，嗯呢嗯呢嗯呢？n,这是真的吗，世界上还有这种怪事？
呢？呢呢？呢呢呢？n,果然如此，你能不能让这个笨蛋，立马变成足球天才。
呢呢呢！呢呢呢嗯呢！S,唉.果然办不到吗？
呢呢呢，嗯呢呢呢！h,之前教练的最快记录，也用了一分钟呢。
呢呢嗯嗯呢！h,哇，你好厉害！
嗯嗯呢，呢嗯呢n,我光跟着她跑步，就竭尽全力了。
嗯呢呢，呢呢呢嗯S,唉，笨蛋就是笨蛋。
嗯呢？h,没有呢。
嗯呢？嗯呢~S,也没说是往上转还是往下转呀？
嗯呢，嗯呢嗯呢。h,您已使用招财布10次。
嗯嗯呢.S,你可以摸摸我吗？
